applicant_id,first_name,last_name,date_of_birth,address,phone_number
47,RaD3n,FrAnC1sco,2003-11-19,"Jl. Apel No. 13, Lhokseumawe",081212343434
48,RaDen,FrAnC1SCo,2003-03-09,"Jl. Pisang No. 7, Sibolga",082199998877
49,r4d3n,Francisco,2004-02-23,"Jl. Duku No. 70, Serang",081288899900
50,R4d3N,FRANCISCO,2003-08-08,"Jl. Cempaka No. 6, Tarakan",082122456789
51,4l4nd,MuL14,2003-07-10,"Jl. Lontar No. 13, Pematangsiantar",081234559999
52,AL4ND,MUL1A,2003-10-21,"Jl. Waru No. 8, Salatiga",082134556677
53,Al4nd,Muli4,2004-06-12,"Jl. Belimbing No. 90, Blora",081233445566
54,ALAND,MULIA,2003-05-01,"Jl. Petai No. 21, Kuningan",082199112233
55,4l4nd,muli4,2003-09-29,"Jl. Pinang No. 99, Bangkalan",081223334455
56,AlaNd,MuL14,2004-03-20,"Jl. Pisang No. 4, Singkawang",082122223456
57,4L4ND,MUL1A,2004-01-14,"Jl. Durian No. 15, Ternate",081256789456
58,AlaND,MULIA,2003-12-07,"Jl. Duku No. 5, Bima",082134567812
59,ALaNd,MuLiA,2003-02-26,"Jl. Tomat No. 3, Ambon",081245677899
60,Aland,MuL1A,2003-11-11,"Jl. Rambutan No. 67, Bau-Bau",082165432198
61,4hm4d,R4f1,2003-09-12,"Jl. Ketapang No. 3, Tarakan",081256712348
62,AHMAD,RAFI,2004-04-19,"Jl. Pinus No. 21, Mataram",082176543210
63,AhM4d,R4fi,2003-08-28,"Jl. Rambutan No. 17, Kupang",081278765432
64,4Hmad,RAFI,2003-07-04,"Jl. Flamboyan No. 34, Tual",082134598721
65,Ahm4d,r4f1,2004-02-12,"Jl. Meranti No. 18, Tidore",081233498765
66,4HMaD,RAF1,2003-05-15,"Jl. Salak No. 6, Sorong",082177712345
67,4hmad,Rafi,2003-11-03,"Jl. Teratai No. 9, Langsa",081287654398
68,AHm4d,RaF1,2004-06-01,"Jl. Melati No. 29, Palopo",082134589743
69,Ahmad,RAFI,2003-10-10,"Jl. Cemara No. 77, Lubuklinggau",081298765411
70,4HMAD,r4f1,2004-01-01,"Jl. Apel No. 89, Subulussalam",082134672298
71,1khw4n,4lH4k1m,2003-06-06,"Jl. Kenari No. 23, Pariaman",081223456789
72,IKHW4N,ALH4KIM,2003-10-25,"Jl. Delima No. 2, Tebing Tinggi",082167891234
73,IkHwan,AlHak1m,2004-03-18,"Jl. Mahoni No. 44, Binjai",081212398765
74,1KHWAN,4lH4KIM,2003-09-20,"Jl. Tanjung No. 15, Tanjungpinang",082123456781
75,Ikhw4n,ALH4KIM,2004-02-15,"Jl. Beringin No. 6, Jambi",081278991234
76,1khwan,4lh4k1m,2003-01-12,"Jl. Bayam No. 11, Pangkalpinang",082154321987
77,1kHw4N,4lHaKIM,2003-07-23,"Jl. Singkong No. 9, Prabumulih",081245678912
78,Ikhwan,ALHAKIM,2004-04-09,"Jl. Bengkuang No. 20, Sungai Penuh",082198762341
79,IKHWAN,Alh4k1M,2003-03-27,"Jl. Nangka No. 14, Solok",081277788899
80,1KHw4N,4LHAKIM,2004-01-19,"Jl. Mangga No. 60, Padang Panjang",082166655544
